=== RESULTADO DA QUERY 1 ===
linhas_alvo: 16055

=== RESULTADO DA QUERY 2 (Amostra 200) ===
id       | ts_local             | imp      | ger      | exp      | consumo_calc
25230    | 2026-07-12 11:32:45  | 0.0      | 2920.6   | 1631.0   | 1289.6      
25229    | 2026-07-12 11:27:44  | 0.0      | 1506.6   | 279.0    | 1227.6      
25228    | 2026-07-12 11:22:43  | 0.0      | 1726.2   | 160.0    | 1566.2      
25227    | 2026-07-12 11:17:42  | 0.0      | 2058.1   | 831.0    | 1227.1      
25226    | 2026-07-12 11:12:42  | 2453.0   | 1795.7   | 0.0      | 4248.7      
25225    | 2026-07-12 11:07:40  | 619.0    | 3484.7   | 0.0      | 4103.7      
25224    | 2026-07-12 11:02:40  | 2621.0   | 1395.0   | 0.0      | 4016.0      
25223    | 2026-07-12 10:57:39  | 3017.0   | 842.0    | 0.0      | 3859.0      
25222    | 2026-07-12 10:52:38  | 3065.0   | 961.0    | 0.0      | 4026.0      
25221    | 2026-07-12 10:47:37  | 2812.0   | 1109.5   | 0.0      | 3921.5      
25220    | 2026-07-12 10:42:36  | 3468.0   | 300.8    | 0.0      | 3768.8      
25219    | 2026-07-12 10:37:35  | 3715.0   | 144.4    | 0.0      | 3859.4      
25218    | 2026-07-12 10:32:35  | 4027.0   | 25.1     | 0.0      | 4052.1      
25217    | 2026-07-12 10:27:33  | 3910.0   | 20.0     | 0.0      | 3930.0      
25216    | 2026-07-12 10:22:32  | 3992.0   | 103.8    | 0.0      | 4095.8      
25215    | 2026-07-12 10:17:31  | 3679.0   | 282.7    | 0.0      | 3961.7      
25214    | 2026-07-12 10:12:30  | 624.0    | 524.5    | 0.0      | 1148.5      
25213    | 2026-07-12 10:07:29  | 462.0    | 816.4    | 0.0      | 1278.4      
25212    | 2026-07-12 10:02:28  | 77.0     | 963.8    | 0.0      | 1040.8      
25211    | 2026-07-12 09:57:27  | 589.0    | 506.4    | 0.0      | 1095.4      
25210    | 2026-07-12 09:52:26  | 734.0    | 218.0    | 0.0      | 952.0       
25209    | 2026-07-12 09:47:25  | 957.0    | 171.7    | 0.0      | 1128.7      
25208    | 2026-07-12 09:42:24  | 714.0    | 253.6    | 0.0      | 967.6       
25207    | 2026-07-12 09:37:23  | 1063.0   | 77.0     | 0.0      | 1140.0      
25206    | 2026-07-12 09:32:22  | 943.0    | 33.0     | 0.0      | 976.0       
25205    | 2026-07-12 09:27:21  | 866.0    | 234.3    | 0.0      | 1100.3      
25204    | 2026-07-12 09:22:20  | 838.0    | 172.2    | 0.0      | 1010.2      
25203    | 2026-07-12 09:17:19  | 499.0    | 734.3    | 0.0      | 1233.3      
25202    | 2026-07-12 09:12:18  | 22.0     | 931.1    | 0.0      | 953.1       
25201    | 2026-07-12 09:07:16  | 710.0    | 383.7    | 0.0      | 1093.7      
25200    | 2026-07-12 09:02:15  | 749.0    | 286.4    | 0.0      | 1035.4      
25199    | 2026-07-12 08:57:14  | 867.0    | 257.6    | 0.0      | 1124.6      
25198    | 2026-07-12 08:52:14  | 725.0    | 409.2    | 0.0      | 1134.2      
25197    | 2026-07-12 08:47:13  | 617.0    | 356.9    | 0.0      | 973.9       
25196    | 2026-07-12 08:42:12  | 676.0    | 314.8    | 0.0      | 990.8       
25195    | 2026-07-12 08:37:11  | 1023.0   | 168.0    | 0.0      | 1191.0      
25194    | 2026-07-12 08:32:10  | 1108.0   | 46.6     | 0.0      | 1154.6      
25193    | 2026-07-12 08:27:09  | 1006.0   | 84.7     | 0.0      | 1090.7      
25192    | 2026-07-12 08:22:08  | 1019.0   | 67.6     | 0.0      | 1086.6      
25191    | 2026-07-12 08:17:07  | 1063.0   | 160.5    | 0.0      | 1223.5      
25190    | 2026-07-12 08:12:05  | 748.0    | 216.8    | 0.0      | 964.8       
25189    | 2026-07-12 08:07:04  | 0.0      | 454.9    | 283.0    | 171.9       
25188    | 2026-07-12 08:02:03  | 0.0      | 503.9    | 380.0    | 123.9       
25187    | 2026-07-12 07:57:02  | 0.0      | 354.3    | 243.0    | 111.3       
25186    | 2026-07-12 07:52:01  | 0.0      | 277.7    | 216.0    | 61.7        
25185    | 2026-07-12 07:47:00  | 0.0      | 246.3    | 153.0    | 93.3        
25184    | 2026-07-12 07:41:59  | 20.0     | 206.9    | 0.0      | 226.9       
25183    | 2026-07-12 07:36:58  | 9.0      | 167.4    | 0.0      | 176.4       
25182    | 2026-07-12 07:31:57  | 114.0    | 116.6    | 0.0      | 230.6       
25181    | 2026-07-12 07:26:55  | 190.0    | 52.5     | 0.0      | 242.5       
25180    | 2026-07-12 07:21:54  | 172.0    | 20.0     | 0.0      | 192.0       
25179    | 2026-07-12 07:16:53  | 257.0    | 20.0     | 0.0      | 277.0       
25178    | 2026-07-12 07:11:53  | 294.0    | 20.0     | 0.0      | 314.0       
25177    | 2026-07-12 07:06:52  | 329.0    | 20.0     | 0.0      | 349.0       
25176    | 2026-07-12 07:01:51  | 332.0    | 20.0     | 0.0      | 352.0       
25175    | 2026-07-12 06:56:50  | 314.0    | 0.0      | 0.0      | 314.0       
25174    | 2026-07-12 06:51:48  | 269.0    | 0.0      | 0.0      | 269.0       
25173    | 2026-07-12 06:46:47  | 274.0    | 0.0      | 0.0      | 274.0       
25172    | 2026-07-12 06:41:46  | 1548.0   | 0.0      | 0.0      | 1548.0      
25171    | 2026-07-12 06:36:45  | 389.0    | 0.0      | 0.0      | 389.0       
25170    | 2026-07-12 06:31:44  | 527.0    | 0.0      | 0.0      | 527.0       
25169    | 2026-07-12 06:26:43  | 1673.0   | 0.0      | 0.0      | 1673.0      
25168    | 2026-07-12 06:21:42  | 538.0    | 0.0      | 0.0      | 538.0       
25167    | 2026-07-12 06:16:41  | 1539.0   | 0.0      | 0.0      | 1539.0      
25166    | 2026-07-12 06:11:40  | 1725.0   | 0.0      | 0.0      | 1725.0      
25165    | 2026-07-12 06:06:39  | 1496.0   | 0.0      | 0.0      | 1496.0      
25164    | 2026-07-12 06:01:38  | 546.0    | 0.0      | 0.0      | 546.0       
25163    | 2026-07-12 05:56:37  | 367.0    | 0.0      | 0.0      | 367.0       
25162    | 2026-07-12 05:51:36  | 1625.0   | 0.0      | 0.0      | 1625.0      
